"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Limited","fov.Open","broad.Ascidians","broad.Bryozoa","broad.Consolidated","broad.Hydroids","broad.Macroalgae","broad.Octocoral/Black","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.True anemones","broad.Unconsolidated"
"FH25",-33.87868897,114.8163721,20201013,07:34:00,"C.FH.16","South-west","Yes",0,2.63157894736842,97.3684210526316,0,9.375,12.5,0,25,0,15.625,15.625,0,0,21.875
"FH42",-33.88118897,114.8113721,20201013,07:38:00,"C.FH.16","South-west","Yes",0,2.5,97.5,0,0,5.55555555555556,0,69.4444444444444,0,16.6666666666667,2.77777777777778,0,0,5.55555555555556
"FH58",-33.66368897,114.8413721,20201012,07:47:00,"C.FH.1","South-west","Yes",0,5.12820512820513,94.8717948717949,0,0,12.5,0,34.375,0,9.375,0,0,0,43.75
"FH9",-33.90118897,114.8513721,20201013,07:58:00,"C.FH.19","South-west","Yes",0,7.5,92.5,0,0,16.6666666666667,0,45.8333333333333,0,0,12.5,0,0,25
"FH41",-33.67118897,114.8388721,20201012,08:01:00,"C.FH.1","South-west","Yes",0,5.55555555555556,94.4444444444444,0,11.1111111111111,11.1111111111111,0,27.7777777777778,0,41.6666666666667,8.33333333333333,0,0,0
"FH16",-33.90118897,114.8563721,20201013,08:02:00,"C.FH.19","South-west","Yes",0,10,90,0,0,14.7058823529412,0,35.2941176470588,0,29.4117647058824,0,0,0,20.5882352941176
"FH51",-33.90618897,114.8538721,20201013,08:06:00,"C.FH.19","South-west","Yes",0,5,95,0,0,7.89473684210526,0,23.6842105263158,2.63157894736842,52.6315789473684,2.63157894736842,0,0,10.5263157894737
"FH70",-33.67368897,114.8463721,20201012,08:07:00,"C.FH.1","South-west","Yes",0,7.5,92.5,0,0,7.69230769230769,0,19.2307692307692,0,0,26.9230769230769,0,0,46.1538461538462
"FH47",-33.90618897,114.8488721,20201013,08:09:00,"C.FH.19","South-west","Yes",0,8.10810810810811,91.8918918918919,0,0,28.125,0,53.125,0,15.625,0,0,0,3.125
"FH63",-33.67868897,114.8163721,20201012,08:20:00,"C.FH.2","South-west","Yes",0,12.5,87.5,0,0,2.94117647058824,0,70.5882352941177,0,0,0,0,0,26.4705882352941
"FH59",-33.66868897,114.8188721,20201012,08:32:00,"C.FH.2","South-west","Yes",0,20,80,0,0,12.5,0,50,0,0,0,0,0,37.5
"IO336",-34.0924,114.8663667,20201016,10:03:00,"C.IO.6","South-west",NA,0,0,100,0,13.3333333333333,0,0,80,0,0,0,0,0,6.66666666666667
"FHC03",-33.948622,114.819555,20201013,09:56:00,"C.FH.22","South-west","Yes",0,10,90,0,0,0,0,13.6363636363636,0,68.1818181818182,18.1818181818182,0,0,0
"FH68",-33.95118897,114.8288721,20201013,10:01:00,"C.FH.22","South-west","Yes",0,7.89473684210526,92.1052631578947,0,0,29.0322580645161,0,51.6129032258064,0,12.9032258064516,0,0,0,6.45161290322581
"FH99",-33.95368897,114.8363721,20201013,10:04:00,"C.FH.22","South-west","Yes",0,7.5,92.5,0,0,3.03030303030303,0,72.7272727272727,0,0,9.09090909090909,0,0,15.1515151515152
"FH89",-33.68618897,114.8013721,20201012,10:34:00,"C.FH.4","South-west","Yes",0,10,90,0,0,0,0,100,0,0,0,0,0,0
"FH45",-33.69368897,114.7988721,20201012,10:39:00,"C.FH.4","South-west","Yes",0,2.5,97.5,0,0,3.84615384615385,0,61.5384615384615,0,15.3846153846154,0,0,0,19.2307692307692
"FH69",-33.69618897,114.8038721,20201012,10:43:00,"C.FH.4","South-west","Yes",0,7.5,92.5,0,0,29.1666666666667,0,25,0,20.8333333333333,25,0,0,0
"FH65",-33.71368897,114.8188721,20201012,10:59:00,"C.FH.6","South-west","Yes",0,5,95,0,0,15.7894736842105,0,57.8947368421053,0,0,5.26315789473684,0,0,21.0526315789474
"FH10",-33.98618897,114.8863721,20201013,12:32:00,"C.FH.24","South-west","Yes",0,5,95,0,0,37.5,0,40.625,0,15.625,3.125,0,0,3.125
"FH52",-33.99118897,114.8888721,20201013,12:36:00,"C.FH.24","South-west","Yes",0,12.5,87.5,0,2.85714285714286,45.7142857142857,0,2.85714285714286,0,22.8571428571429,2.85714285714286,0,0,22.8571428571429
"FH74",-33.73118897,114.8063721,20201012,12:47:00,"C.FH.7","South-west","Yes",0,7.5,92.5,0,12.1212121212121,9.09090909090909,0,12.1212121212121,0,42.4242424242424,0,3.03030303030303,0,21.2121212121212
"FH57",-33.78868897,114.8113721,20201012,13:12:00,"C.FH.12","South-west","Yes",0,8.10810810810811,91.8918918918919,0,5.71428571428571,17.1428571428571,0,14.2857142857143,0,2.85714285714286,22.8571428571429,0,0,37.1428571428571
"FH106",-33.78868897,114.8163721,20201012,13:16:00,"C.FH.12","South-west","Yes",0,7.5,92.5,0,0,19.3548387096774,0,61.2903225806452,0,0,0,0,0,19.3548387096774
"IO157",-33.97118897,114.8238721,20201013,10:14:00,"C.IO.33","South-west",NA,0,0,100,0,0,0,0,85.7142857142857,0,0,14.2857142857143,0,0,0
"FH48",-33.79618897,114.8138721,20201012,13:23:00,"C.FH.12","South-west","Yes",0,15,85,0,5.88235294117647,0,0,11.7647058823529,0,17.6470588235294,64.7058823529412,0,0,0
"FH60",-33.81618897,114.8213721,20201012,15:14:00,"C.FH.13","South-west","Yes",0,5.26315789473684,94.7368421052632,0,0,27.5862068965517,0,24.1379310344828,0,3.44827586206897,24.1379310344828,0,0,20.6896551724138
"FH96",-33.81868897,114.8338721,20201012,15:20:00,"C.FH.13","South-west","Yes",0,5,95,0,0,20,0,20,0,23.3333333333333,13.3333333333333,0,0,23.3333333333333
"FH56",-33.83118897,114.8663721,20201012,15:31:00,"C.FH.14","South-west","Yes",0,2.94117647058824,97.0588235294118,0,0,20.6896551724138,0,31.0344827586207,0,24.1379310344828,10.3448275862069,0,0,13.7931034482759
"FH61",-33.84118897,114.8638721,20201012,15:43:00,"C.FH.14","South-west","Yes",0,7.5,92.5,0,0,0,0,36.6666666666667,0,43.3333333333333,16.6666666666667,3.33333333333333,0,0
"IO241",-33.99368897,114.7913721,20201019,06:26:00,"C.IO.42","South-west","Yes",0,60,40,0,0,3.7037037037037,0,88.8888888888889,0,0,7.40740740740741,0,0,0
"IO229",-33.99368897,114.7863721,20201019,06:31:00,"C.IO.42","South-west","Yes",0,7.69230769230769,92.3076923076923,0,0,17.6470588235294,0,52.9411764705882,0,0,8.82352941176471,0,0,20.5882352941176
"IO227",-33.99868897,114.7838721,20201019,06:37:00,"C.IO.42","South-west","Yes",0,7.5,92.5,0,0,3.44827586206897,0,48.2758620689655,0,0,6.89655172413793,0,0,41.3793103448276
"IO72",-34.03618897,114.8463721,20201019,09:05:00,"C.IO.60","South-west","Yes",0,3.84615384615385,96.1538461538462,0,0,3.125,0,90.625,0,3.125,3.125,0,0,0
"IO262",-34.01368897,114.8738721,20201019,09:46:00,"C.IO.19","South-west","Yes",0,7.5,92.5,0,0,0,0,82.8571428571429,0,0,0,0,0,17.1428571428571
"IO65",-34.01118897,114.8888721,20201019,11:20:00,"C.IO.53","South-west","Yes",0,7.5,92.5,0,0,36.3636363636364,0,18.1818181818182,0,0,3.03030303030303,0,0,42.4242424242424
"IO64",-34.01368897,114.8963721,20201019,11:26:00,"C.IO.47","South-west","Yes",0,5,95,0,0,6.89655172413793,0,68.9655172413793,0,0,3.44827586206897,0,0,20.6896551724138
"IO245",-34.00868897,114.9013721,20201019,11:30:00,"C.IO.47","South-west","Yes",50,0,50,0,15,20,0,35,0,10,5,10,0,5
"IO261",-33.97618897,114.9213721,20201019,11:46:00,"C.IO.20","South-west","Yes",0,7.5,92.5,0,13.6363636363636,27.2727272727273,0,9.09090909090909,0,0,40.9090909090909,0,0,9.09090909090909
"IO258",-33.96618897,114.9138721,20201019,12:05:00,"C.IO.20","South-west","Yes",0,0,100,0,10,45,0,45,0,0,0,0,0,0
"IO206",-34.06368897,114.7913721,20201015,10:28:00,"C.IO.7","South-west",NA,0,0,100,0,0,15.3846153846154,7.69230769230769,0,0,0,30.7692307692308,0,0,46.1538461538462
"IO46",-34.06868897,114.7113721,20201023,06:44:00,"C.IO.34","South-west","Yes",0,5,95,0,0,0,0,0,0,0,0,0,0,100
"IO47",-34.06368897,114.7113721,20201023,06:53:00,"C.IO.34","South-west","Yes",0,0,100,0,30,0,0,0,0,0,0,0,0,70
