"","sample","campaignid.x","family","unique.name","genus","full.name","species","maxn","campaignid.y","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","deployment","cluster","notes"
"32","11","2020-06_south-west_stereo-BRUVs","Myliobatidae","Myliobatidae Myliobatis tenuicaudatus","Myliobatis","Myliobatis tenuicaudatus","tenuicaudatus",1,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"33","11","2020-06_south-west_stereo-BRUVs","Pomacentridae","Pomacentridae Chromis klunzingeri","Chromis","Chromis klunzingeri","klunzingeri",53,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"34","11","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Neatypus obliquus","Neatypus","Neatypus obliquus","obliquus",4,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"35","11","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Caesioperca sp1","Caesioperca","Caesioperca sp1","sp1",3,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"36","12","2020-06_south-west_stereo-BRUVs","Carangidae","Carangidae Seriola hippos","Seriola","Seriola hippos","hippos",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"37","12","2020-06_south-west_stereo-BRUVs","Cheilodactylidae","Cheilodactylidae Nemadactylus valenciennesi","Nemadactylus","Nemadactylus valenciennesi","valenciennesi",2,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"38","12","2020-06_south-west_stereo-BRUVs","Kyphosidae","Kyphosidae Kyphosus sydneyanus","Kyphosus","Kyphosus sydneyanus","sydneyanus",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"39","12","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Bodianus frenchii","Bodianus","Bodianus frenchii","frenchii",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"40","12","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Choerodon rubescens","Choerodon","Choerodon rubescens","rubescens",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"41","12","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"42","12","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",4,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"43","12","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",3,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"44","12","2020-06_south-west_stereo-BRUVs","Monacanthidae","Monacanthidae Meuschenia flavolineata","Meuschenia","Meuschenia flavolineata","flavolineata",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"45","12","2020-06_south-west_stereo-BRUVs","Monacanthidae","Monacanthidae Meuschenia galii","Meuschenia","Meuschenia galii","galii",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"46","12","2020-06_south-west_stereo-BRUVs","Myliobatidae","Myliobatidae Myliobatis tenuicaudatus","Myliobatis","Myliobatis tenuicaudatus","tenuicaudatus",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"47","12","2020-06_south-west_stereo-BRUVs","Orectolobidae","Orectolobidae Orectolobus maculatus","Orectolobus","Orectolobus maculatus","maculatus",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"48","12","2020-06_south-west_stereo-BRUVs","Pomacentridae","Pomacentridae Parma bicolor","Parma","Parma bicolor","bicolor",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
