Longitude,Latitude,class,BRUVid,Sample
114.7738721,-34.13618897,MBH,58,IO58
114.7663721,-34.14118897,MBH,59,IO59
114.7688721,-34.14618897,MBH,60,IO60
114.7638721,-34.14618897,MBH,61,IO61
114.7663721,-34.13368897,MBH,62,IO62
114.4738721,-34.01118897,MBH,63,IO63
114.8963721,-34.01368897,MBH,64,IO64
114.8888721,-34.01118897,MBH,65,IO65
114.8813721,-34.01618897,MBH,66,IO66
114.8963721,-34.02118897,MBH,67,IO67
114.8913721,-34.01868897,MBH,68,IO68
114.8838721,-34.02368897,MBH,69,IO69
114.4888721,-34.00368897,MBH,70,IO70
114.6988721,-34.00368897,MBH,71,IO71
114.8463721,-34.03618897,MBH,72,IO72
114.8588721,-34.02868897,MBH,73,IO73
114.8513721,-34.02868897,MBH,74,IO74
114.8538721,-34.03368897,MBH,75,IO75
114.4688721,-34.02368897,MBH,76,IO76
114.4663721,-34.01118897,MBH,77,IO77
114.4688721,-34.01618897,MBH,78,IO78
114.8963721,-34.10118897,MBH,79,IO79
114.8888721,-34.09368897,MBH,80,IO80
114.8913721,-34.09868897,MBH,81,IO81
114.8838721,-34.10368897,MBH,82,IO82
114.5188721,-34.11368897,MBH,83,IO83
114.5113721,-34.10618897,MBH,84,IO84
114.8188721,-34.11368897,MBH,126,IO126
114.5213721,-34.10868897,MBH,85,IO85
114.5138721,-34.11368897,MBH,86,IO86
114.4838721,-34.01368897,MBH,87,IO87
114.4888721,-34.01118897,MBH,88,IO88
114.9288721,-34.13118897,MBH,89,IO89
114.9238721,-34.12368897,MBH,90,IO90
114.8938721,-34.09368897,MBH,91,IO91
114.8863721,-34.09868897,MBH,92,IO92
114.8913721,-34.10368897,MBH,93,IO93
114.8813721,-34.09618897,MBH,94,IO94
114.7338721,-34.12618897,MBH,95,IO95
114.7363721,-34.13618897,MBH,96,IO96
114.7288721,-34.12868897,MBH,97,IO97
114.7313721,-34.13368897,MBH,98,IO98
114.9063721,-34.06618897,MBH,99,IO99
114.9088721,-34.07618897,MBH,100,IO100
114.8963721,-34.07868897,MBH,101,IO101
114.9113721,-34.07118897,MBH,102,IO102
114.5163721,-34.10618897,MBH,103,IO103
114.5088721,-34.11118897,MBH,104,IO104
114.6688721,-34.06368897,MBH,105,IO105
114.6638721,-34.05868897,MBH,106,IO106
114.6763721,-34.06368897,MBH,107,IO107
114.6688721,-34.05118897,MBH,108,IO108
114.6738721,-34.05618897,MBH,109,IO109
114.7288721,-34.14118897,MBH,110,IO110
114.7413721,-34.05118897,MBH,111,IO111
114.7463721,-34.05368897,MBH,112,IO112
114.7388721,-34.05868897,MBH,113,IO113
114.7438721,-34.06368897,MBH,114,IO114
114.7363721,-34.05368897,MBH,115,IO115
114.7463721,-34.05868897,MBH,116,IO116
114.7388721,-34.06368897,MBH,117,IO117
114.5138721,-34.13618897,MBH,118,IO118
114.9038721,-34.07618897,MBH,119,IO119
114.9063721,-34.08118897,MBH,120,IO120
114.8988721,-34.06868897,MBH,121,IO121
114.8263721,-34.11618897,MBH,122,IO122
114.8188721,-34.10618897,MBH,123,IO123
114.8188721,-34.11868897,MBH,124,IO124
114.8263721,-34.10868897,MBH,125,IO125
114.6888721,-33.97118897,MBH,127,IO127
114.6913721,-33.97618897,MBH,128,IO128
114.6963721,-33.97368897,MBH,129,IO129
114.8763721,-33.98118897,MBH,130,IO130
114.8688721,-33.98618897,MBH,131,IO131
114.8713721,-33.99118897,MBH,132,IO132
114.8663721,-33.99118897,MBH,133,IO133
114.8613721,-33.98368897,MBH,134,IO134
114.4838721,-34.03368897,MBH,135,IO135
114.4788721,-34.02868897,MBH,136,IO136
114.4938721,-34.03368897,MBH,137,IO137
114.4863721,-34.02618897,MBH,138,IO138
114.4888721,-34.03118897,MBH,139,IO139
114.6913721,-33.98368897,MBH,140,IO140
114.6938721,-33.96868897,MBH,141,IO141
114.6963721,-33.97868897,MBH,142,IO142
114.8338721,-33.97368897,MBH,143,IO143
114.8263721,-33.97868897,MBH,144,IO144
114.8238721,-33.98618897,MBH,145,IO145
114.8213721,-33.97618897,MBH,146,IO146
114.8313721,-33.98118897,MBH,147,IO147
114.5963721,-34.01118897,MBH,148,IO148
114.5813721,-34.00118897,MBH,149,IO149
114.5913721,-34.00368897,MBH,150,IO150
114.8763721,-33.98868897,MBH,151,IO151
114.8688721,-33.98118897,MBH,152,IO152
114.8888721,-34.04618897,MBH,153,IO153
