"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","56.60933","Cheilodactylidae","Nemadactylus","valenciennesi",NA,3,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","13.14733","Labridae","Coris","auricularis",NA,1,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","27.71267","Labridae","Ophthalmolepis","lineolatus",NA,3,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","16.29133","Labridae","Pseudolabrus","biserialis",NA,1,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","52.69200","Scorpididae","Neatypus","obliquus",NA,10,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","53.02067","Sparidae","Chrysophrys","auratus",NA,3,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","28.51867","Triakidae","Galeorhinus","galeus",NA,1,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","5.48933","Gerreidae","Parequula","melbournensis",NA,7,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","54.33600","Heterodontidae","Heterodontus","portusjacksoni",NA,1,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","9.40933","Labridae","Austrolabrus","maculatus",NA,2,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","23.19800","Labridae","Ophthalmolepis","lineolatus",NA,6,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","30.46533","Labridae","Pseudolabrus","biserialis",NA,4,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","59.99333","Monacanthidae","Acanthaluteres","brownii",NA,1,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","19.05800","Monacanthidae","Scobinichthys","granulatus",NA,1,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","5.39667","Mullidae","Upeneichthys","vlamingii",NA,2,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","51.53333","Myliobatidae","Myliobatis","tenuicaudatus",NA,1,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","58.14867","Oplegnathidae","Oplegnathus","woodwardi",NA,2,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","58.44133","Pempherididae","Pempheris","klunzingeri",NA,37,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","34.43800","Pomacentridae","Chromis","klunzingeri",NA,1,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","34.79333","Scorpididae","Neatypus","obliquus",NA,26,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","19.10733","Tetraodontidae","Omegophora","armilla",NA,1,NA,"MBH","-34.131497","114.915753","20200602","09:57","South-west","No-take","c3","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","4.62667","Carangidae","Pseudocaranx","spp",NA,1,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","45.83733","Heterodontidae","Heterodontus","portusjacksoni",NA,2,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","35.57533","Labridae","Austrolabrus","maculatus",NA,2,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","48.79867","Labridae","Coris","auricularis",NA,4,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","2.90533","Labridae","Eupetrichthys","angustipes",NA,1,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","47.66467","Labridae","Ophthalmolepis","lineolatus",NA,4,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","40.28467","Labridae","Pseudolabrus","biserialis",NA,5,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","37.38000","Odacidae","Siphonognathus","caninis",NA,1,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","4.56333","Oplegnathidae","Oplegnathus","woodwardi",NA,1,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","19.94933","Scorpididae","Neatypus","obliquus",NA,1,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","37.44533","Triakidae","Mustelus","antarcticus",NA,1,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","52.52133","Trygonorrhinidae","Trygonorrhina","dumerilii",NA,2,NA,"MBH","-34.132842","114.912405","20200602","10:06","South-west","No-take","c3","43.2","Hayley","Yes",NA,"National Park Zone",NA
