"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","53.02067","Sparidae","Chrysophrys","auratus",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","28.51867","Triakidae","Galeorhinus","galeus",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","5.48933","Gerreidae","Parequula","melbournensis",NA,7,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","54.33600","Heterodontidae","Heterodontus","portusjacksoni",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","9.40933","Labridae","Austrolabrus","maculatus",NA,2,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","23.19800","Labridae","Ophthalmolepis","lineolatus",NA,6,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","30.46533","Labridae","Pseudolabrus","biserialis",NA,4,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","59.99333","Monacanthidae","Acanthaluteres","brownii",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","19.05800","Monacanthidae","Scobinichthys","granulatus",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","5.39667","Mullidae","Upeneichthys","vlamingii",NA,2,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","51.53333","Myliobatidae","Myliobatis","tenuicaudatus",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
