"campaignid","dataset","planned.or.exploratory","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IOREDO344","-34.0844","114.6744","20201123","07:12",NA,NA,NA,"138","Daphne - finishes at 59:27","Yes","CALs shit, come back"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO269","-33.98868897","114.8138721","20201019","07:18:00",NA,NA,NA,"47.6","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO300","-34.08618897","114.6688721","20201123","07:18",NA,NA,NA,"138","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO58","-34.13618897","114.7738721","20201022","07:21:00",NA,NA,NA,"92.7","Brooke Gibbons","Yes","CALs shit, come back"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO343","-34.10261667","114.6407167","20201123","07:38",NA,NA,NA,"140","Rachel","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO62","-34.13368897","114.7663721","20201022","07:45:00",NA,NA,NA,"105","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO282","-34.14618897","114.5438721","20201029","07:20:00",NA,NA,NA,"146",NA,"No","No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO278","-34.11118897","114.6388721","20201123","07:45",NA,NA,NA,"140","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO277","-34.10618897","114.6463721","20201123","07:53",NA,NA,NA,"139","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO110","-34.14118897","114.7288721","20201022","08:00:00",NA,NA,NA,"128","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO98","-34.13368897","114.7313721","20201022","08:13:00",NA,NA,NA,"128","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO95","-34.12618897","114.7338721","20201022","08:21:00",NA,NA,NA,"124","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO264","-34.01868897","114.8738721","20201019","09:31:00",NA,NA,NA,"42","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO339","-34.01461667","114.8785","20201019","09:41:00",NA,NA,NA,"41.1","Daphne","Yes","Yes"
