"sample","distance.to.ramp"
"IO125",20.085723509165
"IO132",11.0428135848789
"IO145",15.4258841165656
"IO152",11.3187141879276
"IO155",11.5309961195907
"IO164",9.38012232708733
"IO165",10.3707161452214
"IO184",9.8342350739738
"IO201",16.2364088230343
"IO204",20.6643527580456
"IO210",15.5707771007913
"IO215",10.5615823136522
"IO218",11.2802794911461
"IO222",16.965507776044
"IO223",16.0852281372329
"IO224",16.0909765347661
"IO225",17.051979768697
"IO239",12.4923781055495
"IO73",12.9161711283196
"IO266",21.6770192329271
"IO325",22.8351849986124
"IO327",21.5237030640195
"IO334",21.3980419411213
"IO353",15.7182636234787
"FH16",12.9849411435833
"FH25",15.9476184459351
"FH47",13.8333895316716
"FH51",13.4079559205088
"FH52",9.43056758085411
"FH99",14.8386675306039
"FH106",17.6205862984928
"IO236",11.8520999764405
"FH68",15.5798984609357
"IO319",26.5418401911498
"IO332",26.4554849131098
"IO333",28.0377049376134
"IO262",11.1186812079592
"IO36",28.0635743359904
"IO59",25.6328698186981
"IO66",10.5205761414818
"IO74",13.5701631006522
"IO75",13.5391640890201
"IO228",18.2421030837289
"FH2",11.088299291363
"IO259",6.86989066130111
"IO260",7.21666962546767
"IO273",15.6760666029175
"FH40",11.6098952824767
"IO308",27.6383942011142
"IO328",15.6534962677034
"IO377",26.3762019241746
"FH11",6.30727675443962
"FH12",10.7228228537215
"FH35",5.87338399899756
"IO46",27.2041368655902
"IO47",27.0320823537228
"FH67",6.74718920948046
"FH72",6.34953822621381
"FH78",7.4868743818
"FH87",11.2861265267966
"FH94",6.98835857651863
"IO101",13.1439764153063
"IO102",11.6133710620514
"IO105",30.7863360791405
"IO189",30.1608648969153
"IO107",30.1208664758787
"IO108",30.4500008787835
"FH109",9.65894515587748
"IO113",24.4516735336191
"IO115",24.5058302615055
"IO192",29.7036116642392
"IO211",10.7088227070523
"IO216",10.467789636865
"IO280",31.2001110034846
"IO290",26.5507434033445
"IO291",24.6113548363709
"IO295",25.2256599163606
"IO297",25.7629522626463
"IO302",26.209838717928
"IO330",24.3681940252294
"IO355",10.2820944459993
"IO370",31.7780193178535
"IO378",32.4649146327726
"IOC04",24.7623006949867
"IOC05",10.9928831101881
"IO49",27.3906325428681
"IO100",12.1902733071584
"IO109",30.1305197311765
"IO117",24.6293699570006
"IO119",12.4819162729525
"IO191",29.4823440656951
"IO194",30.1661071917585
"IO294",24.1946529943486
"IO298",30.9618862703091
"IO299",30.7016570406107
"IO313",24.6183012742681
"IO324",32.3962181915743
"IO329",25.7355023887263
"IO331",25.24686918031
"IO343",34.6014058417458
"IO352",36.4969342688757
"IO369",37.0776010530578
"IO71",26.9743424768972
"IO148",36.4485562663979
"IO254",27.343788380484
"IO276",34.9187497617235
"IO349",36.5606436822005
"IO379",30.3606757648558
"IO306",26.7077003835146
"FH55",10.2277754979412
"IOC06",12.4095259558769
"FH69",18.0293177756953
"IO64",9.11628661045708
"IO65",9.71049887277811
"IO72",14.2834491440494
"IO227",19.1258758971737
"IO229",18.8771295253027
"IO241",18.4165671398887
"IO245",8.52607376642461
"IO258",7.61460753542657
"IO261",6.62449893833647
"IO244",7.95751247341612
