"","campaignid","sample","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.reef","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","fov.facing.up","fov.limited","fov.open","mean.relief","sd.relief","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"42","2020-06_south-west_stereo-BRUVs","11 - failed",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"MBH",-34.117769,114.923158,20200602,"11:55","South-west","No-take","c2",46.7,NA,"No","No","National Park Zone",NA
"43","2020-10_south-west_stereo-BRUVs","FH102",0,0,0,0,0,0,0,0,0,100,0,0,100,0.185185185185185,0.39584739066357,"FH","MBH",-33.68868897,114.9288721,20201017,"06:42:00","South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes",NA,"Injidup Sanctuary Zone"
"44","2020-10_south-west_stereo-BRUVs","FHA",0,0,0,24,0,36,0,12,0,64,0,0,100,1.36,0.489897948556636,"FH","Legacy",-33.683135,114.937827,20201017,"06:55:00","South-west","No-take","C.FH.3",44.6,"Daphne","Yes","Yes",NA,"Injidup Sanctuary Zone"
"45","2020-10_south-west_stereo-BRUVs","FHB",0,3.44827586206897,0,37.9310344827586,0,75.8620689655173,0,34.4827586206897,0,24.1379310344828,0,10,90,1.96551724137931,0.680480849981921,"FH","Legacy",-33.681655,114.957127,20201017,"07:02:00","South-west","No-take","C.FH.A",41.3,"Daphne","Yes","Yes",NA,"Injidup Sanctuary Zone"
"46","2020-10_south-west_stereo-BRUVs","FHD",0,0,0,5,0,5,0,0,0,95,0,0,100,0.5,0.606976978666884,"FH","Legacy",-33.686897,114.958507,20201017,"07:12:00","South-west","No-take","C.FH.A",39.5,"Daphne","Yes","Yes",NA,"Injidup Sanctuary Zone"
"47","2020-10_south-west_stereo-BRUVs","FHE",0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,"FH","Legacy",-33.687267,114.951172,20201017,"07:16:00","South-west","No-take","C.FH.A",42.3,"Daphne","Yes","Yes",NA,"Injidup Sanctuary Zone"
"48","2020-10_south-west_stereo-BRUVs","FH31",0,3.57142857142857,0,64.2857142857143,0,89.2857142857143,14.2857142857143,7.14285714285714,0,10.7142857142857,0,0,100,2.39285714285714,0.685256681526506,"FH","MBH",-33.67368897,114.8238721,20201012,"08:27:00","South-west","Fished","C.FH.2",45.4,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA
"49","2020-10_south-west_stereo-BRUVs","FH5",0,22.7272727272727,0,4.54545454545455,0,72.7272727272726,31.8181818181818,13.6363636363636,0,27.2727272727273,0,0,100,2.18181818181818,0.852802865422442,"FH","MBH",-33.69368897,114.9413721,20201017,"08:46:00","South-west","No-take","C.FH.5",44.5,"Daphne","Yes","Yes",NA,"Injidup Sanctuary Zone"
"50","2020-10_south-west_stereo-BRUVs","FH108",0,4.34782608695652,0,65.2173913043478,0,73.9130434782608,0,4.34782608695652,0,26.0869565217391,0,0,100,1.69565217391304,0.558795995356872,"FH","MBH",-33.76118897,114.9238721,20201017,"09:32:00","South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA
"51","2020-10_south-west_stereo-BRUVs","FH6",0,0,0,80,0,100,20,0,0,0,0,0,100,2.4,0.516397779494322,"FH","MBH",-33.70618897,114.8213721,20201012,"10:50:00","South-west","Fished","C.FH.6",46,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA
"52","2020-10_south-west_stereo-BRUVs","FH95",0,0,0,72,0,92,0,20,0,8,0,0,100,2.28,0.613731754650732,"FH","MBH",-33.75868897,114.8913721,20201017,"11:07:00","South-west","Fished","C.FH.8",46.8,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA
"53","2020-10_south-west_stereo-BRUVs","IO272",18.1818181818182,0,0,81.8181818181818,0,100,0,0,0,0,0,20,80,2.81818181818182,0.404519917477945,"IO","MBH",-34.00868897,114.8138721,20201019,"06:56:00","South-west","Fished","C.IO.21",49.2,NA,NA,"No","Special Purpose Zone (Mining Exclusion)",NA
