"campaignid","sample","slope","aspect","roughness","tpi"
"2020-10_south-west_stereo-BRUVs","IO65",0.000705744954757392,2.26623153686523,1,0.125
"2020-10_south-west_stereo-BRUVs","IO64",0.00216747401282191,1.57079637050629,1,0.375
"2020-10_south-west_stereo-BRUVs","IO245",0.00168723321985453,1.842116355896,1,0.25
"2020-10_south-west_stereo-BRUVs","IO261",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO258",0.000705524755176157,4.01669311523438,1,-0.125
"2020-10_south-west_stereo-BRUVs","IO206",0.00886134430766106,4.50683403015137,5,-0.875
"2020-10_south-west_stereo-BRUVs","IO46",0.00511631928384304,5.27132034301758,4,0.125
"2020-10_south-west_stereo-BRUVs","IO47",0.00421775225549936,3.68166017532349,3,-0.375
"2020-10_south-west_stereo-BRUVs","IO290",0.00571587029844522,4.39041662216187,4,-0.125
"2020-10_south-west_stereo-BRUVs","IO302",0.00423621200025082,4.01730155944824,4,0.5
"2020-10_south-west_stereo-BRUVs","IO113",0.0103105353191495,4.75625801086426,5,-0.5
"2020-10_south-west_stereo-BRUVs","IO115",0.00872597191482782,4.34118795394897,5,-0.125
"2020-10_south-west_stereo-BRUVs","IO280",0.000904369226191193,3.14159274101257,1,-0.125
"2020-10_south-west_stereo-BRUVs","IO105",1.38777878078145e-17,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","IO107",0.00234975828789175,5.10746335983276,2,-0.125
"2020-10_south-west_stereo-BRUVs","IO108",0.00108421745244414,4.71238899230957,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO101",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO102",0.00403076689690351,1.22754764556885,2,-0.25
"2020-10_south-west_stereo-BRUVs","IO216",0.00168820272665471,1.841956615448,1,0.25
"2020-10_south-west_stereo-BRUVs","IO355",0.00469901831820607,1.9659126996994,3,-0.375
"2020-10_south-west_stereo-BRUVs","IO211",0.00403013452887535,1.22749149799347,2,1
"2020-10_south-west_stereo-BRUVs","IOC05",0.00216849613934755,1.57079637050629,2,0
"2020-10_south-west_stereo-BRUVs","FH33",0,1.57079637050629,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO378",0.00146072602365166,0.379947066307068,1,0.5
"2020-10_south-west_stereo-BRUVs","IO370",0.00211701169610023,4.01686668395996,1,0.375
"2020-10_south-west_stereo-BRUVs","IO297",0.00824903324246407,4.54719209671021,4,0.25
"2020-10_south-west_stereo-BRUVs","IO295",0.0105511397123337,4.49643993377686,6,-0.625
"2020-10_south-west_stereo-BRUVs","IO192",0.00489613180980086,4.61990261077881,3,0.125
"2020-10_south-west_stereo-BRUVs","FH62",6.93889390390723e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","FH87",0.000904369226191193,6.28318548202515,1,0.375
"2020-10_south-west_stereo-BRUVs","FH14",0.00216119387187064,1.57079637050629,1,-0.375
"2020-10_south-west_stereo-BRUVs","FH12",0.00282116467133164,0.874826073646545,2,0.25
