OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
FHE	8	0	1164.31270	584.08955	1337.75446	586.93284
FHE	8	1	1336.56873	526.66418	1548.28961	535.55224
FHE	9	0	394.87933	515.82090	606.42183	495.67164
FHE	10	0	1310.62959	472.00746	1679.24449	494.21642
FHE	10	1	1453.67261	457.90299	1847.47114	491.19403
FHE	11	0	1686.29591	566.19403	1899.85310	596.41791
FHE	11	1	1295.44596	540.00000	1515.04722	560.14925
FHE	12	0	1075.84470	870.44776	638.65687	838.20896
FHE	12	1	507.70199	608.50746	223.63064	568.20896
FHE	13	0	914.66946	614.55224	529.86359	582.31343
FHE	13	1	1345.81322	523.88060	1041.59496	517.83582
FHE	14	0	940.86044	616.56716	624.55404	590.37313
FHE	14	1	1442.51836	622.61194	1142.32949	612.53731
FHE	15	0	1418.34208	642.76119	533.89297	598.43284
FHE	15	1	1033.53620	324.40299	14.10283	255.89552
FH6	0	0	200.96537	859.01866	379.81742	793.13433
FH6	0	1	0.00000	847.93657	217.13116	776.00746
FH6	1	0	436.75131	752.65672	401.13746	701.16045
FH6	1	1	356.16369	839.80224	302.41763	780.75000
FH6	2	0	116.34837	821.92537	124.40714	753.27985
FH6	2	1	197.94334	810.84328	190.38825	743.70896
FH6	3	0	679.52361	737.97761	457.28437	695.86940
FH6	3	1	580.30010	724.88060	357.55719	675.21642
FH6	4	0	381.13116	598.58209	646.70304	571.00000
FH6	4	1	262.51626	587.16418	547.22770	556.28358
FH6	5	0	1653.05352	602.29478	1745.22560	624.39925
FH6	5	1	1718.53095	622.94776	1834.87933	657.14179
FH6	6	0	329.51312	743.05970	63.46275	678.71642
FH6	6	1	494.71773	731.47388	196.93599	673.17537
FH6	7	0	1362.24449	624.47388	1252.71878	629.02239
FH6	7	1	1481.61490	590.22015	1367.55614	597.79104
FH6	8	0	986.82581	601.95522	788.93599	578.16418
FH6	8	1	1084.53830	587.34701	872.54565	570.60821
FH6	9	0	1171.32214	923.84328	611.27807	879.01119
FH6	9	1	1325.44596	942.98507	752.81007	918.80597
FH6	10	0	134.98426	1059.85075	8.05876	1063.88060
FH6	11	0	1786.02308	862.60821	1505.28856	907.49627
FH6	11	1	1670.68206	842.96269	1408.58342	870.22015
FH6	12	0	132.58762	650.86194	390.25184	607.42164
FH6	13	0	1435.82686	751.57836	1045.68311	743.99254
FH6	13	1	1834.73557	687.60448	1433.02413	702.20149
FH6	14	0	906.23820	480.22761	700.58762	453.68284
FH6	14	1	1121.81007	452.01866	915.65582	437.56343
FH6	15	0	1483.28437	75.05597	1644.65582	41.30597
FH6	15	1	1257.13536	101.25000	1404.40399	88.15299
